encoder_value,roll_value,gyro_value,pid
27,-2.693,-7.291,-203.903
27,-2.655,-8.296,-152.174
28,-2.612,-8.784,-153.356
28,-2.568,-9.003,-130.121
27,-2.524,-8.93,-101.098
27,-2.478,-8.648,-108.756
26,-2.437,-8.001,-95.529
25,-2.4,-7.21,-95.707
25,-2.365,-6.396,-119.634
24,-2.337,-5.354,-119.486
24,-2.312,-4.501,-146.351
23,-2.292,-3.867,-136.818
24,-2.276,-3.153,-184.177
23,-2.262,-2.704,-162.097
25,-2.249,-2.515,-218.712
25,-2.239,-2.424,-201.507
26,-2.226,-2.703,-214.299
27,-2.212,-3.136,-213.831
28,-2.197,-3.584,-212.699
28,-2.176,-4.313,-180.611
29,-2.153,-4.943,-181.971
30,-2.127,-5.329,-180.51
29,-2.098,-5.765,-132.058
29,-2.068,-5.866,-132.686
29,-2.04,-5.543,-135.84
28,-2.011,-5.283,-114.907
27,-1.985,-4.887,-106.953
27,-1.962,-4.151,-131.134
26,-1.943,-3.469,-123.084
26,-1.926,-2.887,-144.483
26,-1.914,-2.254,-159.056
26,-1.904,-1.763,-170.288
25,-1.896,-1.504,-153.386
26,-1.889,-1.404,-186.282
26,-1.882,-1.488,-173.97
27,-1.873,-1.746,-188.201
27,-1.864,-2.076,-168.906
27,-1.852,-2.412,-157.944
27,-1.838,-2.742,-146.733
27,-1.824,-3.008,-136.969
27,-1.807,-3.15,-130.185
27,-1.79,-3.096,-128.596
26,-1.775,-2.888,-108.769
25,-1.759,-2.636,-99.138
25,-1.746,-2.256,-115.794
25,-1.736,-1.777,-126.688
24,-1.728,-1.338,-114.456
23,-1.722,-0.877,-112.249
24,-1.718,-0.443,-154.65
23,-1.716,-0.261,-127.913
23,-1.714,-0.25,-136.966
23,-1.713,-0.212,-137.924
23,-1.711,-0.322,-134.807
24,-1.707,-0.615,-149.053
23,-1.704,-0.764,-113.272
23,-1.699,-0.82,-119.979
23,-1.694,-0.925,-116.414
22,-1.688,-0.996,-91.217
22,-1.682,-0.949,-100.364
22,-1.678,-0.686,-106.681
21,-1.674,-0.455,-89.839
21,-1.671,-0.305,-102.348
20,-1.671,0.04,-89.194
20,-1.671,0.28,-104.703
20,-1.672,0.335,-106.522
19,-1.674,0.478,-88.53
19,-1.675,0.546,-99.739
19,-1.678,0.51,-99.468
19,-1.68,0.385,-96.749
19,-1.68,0.181,-91.584
18,-1.681,0.15,-68.729
18,-1.681,0.063,-75.467
17,-1.679,-0.162,-46.892
17,-1.678,-0.122,-56.785
15,-1.677,0.065,-16.757
15,-1.677,0.289,-40.65
14,-1.679,0.67,-28.89
14,-1.682,1.046,-48.547
12,-1.688,1.447,-15.597
12,-1.696,1.861,-46.212
11,-1.706,2.045,-30.604
10,-1.717,2.142,-21.92
10,-1.728,2.3,-37.373
10,-1.74,2.36,-41.445
9,-1.752,2.234,-18.066
9,-1.762,2.115,-25.979
8,-1.772,2.109,-5.566
7,-1.782,1.96,9.903
7,-1.791,1.859,1.812
6,-1.802,2.048,17.042
6,-1.811,2.088,5.199
5,-1.821,2.044,26.785
4,-1.832,2.175,34.61
3,-1.842,2.277,43.39
1,-1.854,2.526,70.301
1,-1.868,2.956,38.351
0,-1.883,3.329,47.781
0,-1.902,3.7,25.375
-1,-1.922,4.011,35.525
-1,-1.944,4.103,19.854
-2,-1.965,3.879,44.034
-1,-1.983,3.399,21.759
-1,-2.0,2.861,41.676
-2,-2.013,2.229,78.31
-1,-2.022,1.608,61.654
-3,-2.029,1.259,123.208
-4,-2.034,1.055,132.394
-5,-2.038,1.126,143.206
-7,-2.045,1.57,166.109
-9,-2.053,2.179,175.595
-10,-2.066,3.176,151.13
-13,-2.085,4.212,178.386
-14,-2.107,4.916,151.197
-15,-2.136,5.863,133.985
-16,-2.169,6.643,120.425
-16,-2.203,6.722,102.868
-16,-2.24,6.743,95.133
-16,-2.274,6.555,93.4
-16,-2.306,5.848,106.015
-17,-2.336,5.115,142.126
-16,-2.359,4.367,126.047
-16,-2.38,3.64,150.256
-18,-2.398,3.076,206.77
-18,-2.411,2.724,195.701
-19,-2.427,2.863,211.511
-22,-2.442,3.062,261.933
-22,-2.457,3.341,225.005
-25,-2.48,4.271,263.489
-26,-2.503,5.154,231.255
-27,-2.532,5.905,219.386
-29,-2.568,6.914,221.788
-29,-2.604,7.52,180.934
-29,-2.646,7.882,163.351
-30,-2.69,8.148,170.381
-29,-2.73,7.889,138.045
-29,-2.773,7.494,149.229
-29,-2.811,6.83,159.589
-28,-2.843,5.906,155.442
-28,-2.876,5.347,173.028
-28,-2.902,4.613,187.652
-29,-2.923,3.761,228.686
-28,-2.944,3.531,199.47
-30,-2.962,3.392,253.712
-30,-2.98,3.358,233.525
-31,-3.002,3.93,236.839
-31,-3.024,4.503,208.478
-33,-3.051,4.92,237.414
-32,-3.08,5.491,176.384
-33,-3.112,5.845,192.476
-33,-3.145,5.81,178.297
-33,-3.176,5.591,178.144
-32,-3.205,5.27,158.692
-32,-3.234,4.905,171.909
-32,-3.261,4.48,178.253
-31,-3.284,4.093,161.653
-31,-3.308,3.88,171.915
-31,-3.329,3.69,172.947
-31,-3.35,3.542,173.052
-30,-3.371,3.523,147.238
-30,-3.392,3.421,155.089
-30,-3.411,3.23,156.48
-29,-3.43,3.011,136.365
-29,-3.447,2.596,153.278
-29,-3.462,2.176,161.763
-28,-3.476,2.048,140.227
-28,-3.489,1.914,150.359
-28,-3.5,1.634,155.79
-28,-3.512,1.572,155.441
-27,-3.523,1.642,129.138
-27,-3.534,1.512,139.624
-27,-3.545,1.347,142.111
-26,-3.555,1.307,118.981
-26,-3.564,1.194,129.252
-25,-3.573,0.961,111.543
-25,-3.581,0.833,122.488
-24,-3.589,0.777,100.24
-24,-3.596,0.554,113.962
-24,-3.601,0.235,121.55
-22,-3.605,-0.007,82.532
-22,-3.608,-0.293,107.679
-23,-3.608,-0.705,141.252
-21,-3.607,-0.895,92.853
-21,-3.607,-0.885,110.715
-21,-3.602,-1.028,115.839
-20,-3.601,-0.654,83.818
-20,-3.6,-0.545,90.245
-20,-3.601,-0.461,87.997
-19,-3.604,-0.157,57.184
-18,-3.607,-0.071,41.011
-17,-3.621,1.772,-23.922
-16,-3.651,4.926,-126.979
-13,-3.68,4.089,-168.798
-8,-3.688,-0.418,-136.389
-5,-3.672,-4.759,-40.776
-1,-3.639,-8.042,-10.096
-1,-3.593,-10.346,95.819
-1,-3.536,-11.591,140.226
-3,-3.478,-11.423,192.263
-6,-3.423,-10.152,219.013
-8,-3.376,-8.079,191.488
-11,-3.347,-4.997,165.237
